software mouseReMoCo;version 1.3.0;isWithLSL false;screenWidth 1447;screenHeight 736;centerX 723;centerY 368;autoStart 3600;cycleMaxNumber 6;cycleDuration 20;borderColor java.awt.Color[r=255,g=255,b=255];textColor java.awt.Color[r=255,g=255,b=255];backgroundColor java.awt.Color[r=0,g=0,b=0];cursorColorRecord java.awt.Color[r=255,g=0,b=0];cursorColorWait java.awt.Color[r=255,g=255,b=0];task circular;cornerX 435;cornerY 80;externalRadius 288;internalRadius 208;borderRadius 1;cursorRadius 16;indexOfDifficulty 33.086986458020164;taskRadius 247.5;taskTolerance 47
2025-11-29 14:48:45.048 +0100

timestamp,mouseX,mouseY,mouseInTarget
1764424183899,728,132,1
1764424183915,730,132,1
1764424183915,732,132,1
1764424183931,734,133,1
1764424183947,736,133,1
1764424183947,738,133,1
1764424183947,739,133,1
1764424183963,741,133,1
1764424183978,743,133,1
1764424183978,745,134,1
1764424183978,746,134,1
1764424183994,747,134,1
1764424183994,749,135,1
1764424184010,751,135,1
1764424184026,752,135,1
1764424184026,754,135,1
1764424184042,757,136,1
1764424184042,759,136,1
1764424184058,761,137,1
1764424184058,763,138,1
1764424184073,765,138,1
1764424184073,767,139,1
1764424184089,770,140,1
1764424184089,773,141,1
1764424184105,776,141,1
1764424184105,779,143,1
1764424184121,784,145,1
1764424184121,787,146,1
1764424184137,790,146,1
1764424184137,793,147,1
1764424184152,795,149,1
1764424184152,797,149,1
1764424184169,800,150,1
1764424184169,803,151,1
1764424184184,805,152,1
1764424184184,807,152,1
1764424184200,810,153,1
1764424184200,813,155,1
1764424184216,816,155,1
1764424184216,818,156,1
1764424184232,821,157,1
1764424184232,824,159,1
1764424184248,826,159,1
1764424184248,829,160,1
1764424184264,832,162,1
1764424184264,834,162,1
1764424184280,837,164,1
1764424184280,839,165,1
1764424184296,842,167,1
1764424184296,845,168,1
1764424184312,848,169,1
1764424184312,850,170,1
1764424184328,852,171,1
1764424184328,854,172,1
1764424184344,857,174,1
1764424184344,859,175,1
1764424184360,860,175,1
1764424184360,863,177,1
1764424184376,864,178,1
1764424184376,865,179,1
1764424184392,867,180,1
1764424184408,868,181,1
1764424184408,870,181,1
1764424184424,871,183,1
1764424184424,873,184,1
1764424184440,875,187,1
1764424184440,877,189,1
1764424184455,880,191,1
1764424184455,882,194,1
1764424184471,884,196,1
1764424184471,886,198,1
1764424184487,887,200,1
1764424184487,890,203,1
1764424184503,891,204,1
1764424184503,892,206,1
1764424184519,894,208,1
1764424184519,895,210,1
1764424184535,897,212,1
1764424184535,898,214,1
1764424184551,900,217,1
1764424184551,901,220,1
1764424184569,903,222,1
1764424184569,905,224,1
1764424184583,908,227,1
1764424184583,909,229,1
1764424184599,911,232,1
1764424184599,912,235,1
1764424184614,914,239,1
1764424184614,915,241,1
1764424184630,917,244,1
1764424184630,919,247,1
1764424184646,920,251,1
1764424184646,922,254,1
1764424184662,924,256,1
1764424184662,925,260,1
1764424184678,927,263,1
1764424184678,928,266,1
1764424184694,929,269,1
1764424184694,931,274,1
1764424184710,933,278,1
1764424184710,935,283,1
1764424184726,936,286,1
1764424184726,938,291,1
1764424184742,940,294,1
1764424184742,941,297,1
1764424184758,942,299,1
1764424184758,943,302,1
1764424184779,944,305,1
1764424184781,944,307,1
1764424184790,945,309,1
1764424184790,946,312,1
1764424184806,947,315,1
1764424184806,947,317,1
1764424184822,948,320,1
1764424184822,949,324,1
1764424184838,949,327,1
1764424184838,949,329,1
1764424184854,949,332,1
1764424184854,950,335,1
1764424184869,950,338,1
1764424184869,950,341,1
1764424184885,950,344,1
1764424184885,950,347,1
1764424184901,950,350,1
1764424184901,950,353,1
1764424184917,950,356,1
1764424184917,950,359,1
1764424184932,950,362,1
1764424184932,950,365,1
1764424184948,950,369,1
1764424184948,950,372,1
1764424184965,950,376,1
1764424184965,950,379,1
1764424184979,950,382,1
1764424184995,950,385,1
1764424184995,950,389,1
1764424185011,950,393,1
1764424185011,950,396,1
1764424185011,950,399,1
1764424185027,950,403,1
1764424185027,950,406,1
1764424185043,950,410,1
1764424185043,950,413,1
1764424185059,950,417,1
1764424185075,950,421,1
1764424185075,949,424,1
1764424185075,948,427,1
1764424185090,947,431,1
1764424185090,947,436,1
1764424185106,946,439,1
1764424185106,946,442,1
1764424185122,945,445,1
1764424185122,945,448,1
1764424185138,944,451,1
1764424185154,944,453,1
1764424185154,943,455,1
1764424185170,943,457,1
1764424185176,943,460,1
1764424185186,943,462,1
1764424185186,943,464,1
1764424185201,942,466,1
1764424185201,941,468,1
1764424185217,941,470,1
1764424185217,940,472,1
1764424185233,940,475,1
1764424185233,938,477,1
1764424185249,938,480,1
1764424185249,937,483,1
1764424185265,936,486,1
1764424185265,934,490,1
1764424185281,932,493,1
1764424185281,931,497,1
1764424185297,929,502,1
1764424185297,927,505,1
1764424185313,926,509,1
1764424185313,924,512,1
1764424185329,922,515,1
1764424185329,921,518,1
1764424185345,919,522,1
1764424185345,917,525,1
1764424185361,916,527,1
1764424185361,914,530,1
1764424185377,912,533,1
1764424185377,909,536,1
1764424185392,907,540,1
1764424185392,904,542,1
1764424185408,902,544,1
1764424185408,900,547,1
1764424185424,897,549,1
1764424185424,894,552,1
1764424185440,890,554,1
1764424185440,887,557,1
1764424185456,885,559,1
1764424185456,881,562,1
1764424185472,878,563,1
1764424185472,874,566,1
1764424185488,871,568,1
1764424185488,868,569,1
1764424185503,866,571,1
1764424185503,863,572,1
1764424185520,861,574,1
1764424185520,859,575,1
1764424185535,857,576,1
1764424185535,854,577,1
1764424185551,852,577,1
1764424185551,849,579,1
1764424185567,846,580,1
1764424185567,843,581,1
1764424185583,838,582,1
1764424185583,834,583,1
1764424185599,828,584,1
1764424185599,824,586,1
1764424185615,820,587,1
1764424185615,814,588,1
1764424185631,809,590,1
1764424185631,805,590,1
1764424185647,800,591,1
1764424185647,795,592,1
1764424185662,790,593,1
1764424185662,784,594,1
1764424185678,778,595,1
1764424185678,773,595,1
1764424185694,767,596,1
1764424185694,762,596,1
1764424185710,756,596,1
1764424185710,751,597,1
1764424185726,747,597,1
1764424185726,743,597,1
1764424185742,738,598,1
1764424185742,734,598,1
1764424185757,730,598,1
1764424185757,726,598,1
1764424185773,723,598,1
1764424185773,719,598,1
1764424185789,715,598,1
1764424185789,711,598,1
1764424185804,707,598,1
1764424185804,702,599,1
1764424185820,698,599,1
1764424185820,694,599,1
1764424185836,691,599,1
1764424185836,688,599,1
1764424185852,685,599,1
1764424185852,682,599,1
1764424185867,679,599,1
1764424185867,675,599,1
1764424185883,671,599,1
1764424185883,665,599,1
1764424185899,661,599,1
1764424185899,656,599,1
1764424185915,650,598,1
1764424185931,645,597,1
1764424185931,639,597,1
1764424185931,635,595,1
1764424185947,631,595,1
1764424185947,627,593,1
1764424185963,624,593,1
1764424185978,621,593,1
1764424185978,618,592,1
1764424185978,615,590,1
1764424185994,612,590,1
1764424186010,609,589,1
1764424186010,604,588,1
1764424186010,600,586,1
1764424186026,595,584,1
1764424186026,591,582,1
1764424186042,586,580,1
1764424186042,582,580,1
1764424186058,579,578,1
1764424186058,575,576,1
1764424186074,572,576,1
1764424186090,569,574,1
1764424186090,565,571,1
1764424186090,562,570,1
1764424186106,559,567,1
1764424186122,555,564,1
1764424186122,553,562,1
1764424186122,551,561,1
1764424186140,548,558,1
1764424186153,546,556,1
1764424186153,544,554,1
1764424186169,540,551,1
1764424186169,537,547,1
1764424186185,533,543,1
1764424186185,528,539,1
1764424186201,523,534,1
1764424186201,518,529,1
1764424186217,513,524,1
1764424186217,509,519,1
1764424186233,507,516,1
1764424186233,504,512,1
1764424186249,503,510,1
1764424186249,501,507,1
1764424186265,499,504,1
1764424186265,498,499,1
1764424186281,496,495,1
1764424186281,493,491,1
1764424186297,491,488,1
1764424186297,489,484,1
1764424186312,487,482,1
1764424186312,486,480,1
1764424186329,484,477,1
1764424186329,484,474,1
1764424186345,482,470,1
1764424186345,481,467,1
1764424186361,480,464,1
1764424186361,479,461,1
1764424186377,479,457,1
1764424186377,477,452,1
1764424186393,476,447,1
1764424186393,475,441,1
1764424186409,475,437,1
1764424186409,475,433,1
1764424186424,475,429,1
1764424186424,475,424,1
1764424186440,475,420,1
1764424186440,475,415,1
